Date,Area is: World,Sub Area is: Country,Sub Area is: City,Image url,Special colum: lpi,Item title ENG,Item ENG,Item title ITA,Item ITA,Item title POR,Item POR,Item title DEU,Item DEU,Item title FRA,Item FRA,Item title CHI,Item CHI,Item title JAP,Item JAP,Item ESP,Item title GAE,Item GAE,Item title MAG,Item MAG,Item title URD,Item URD
"Saturday, September 28, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, September 29, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, September 30, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, October 1, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, October 2, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, October 3, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, October 4, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, October 5, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, October 6, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, October 7, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, October 8, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, October 9, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, October 10, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, October 11, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, October 12, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, October 13, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, October 14, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, October 15, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, October 16, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, October 17, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, October 18, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, October 19, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, October 20, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, October 21, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, October 22, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, October 23, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, October 24, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, October 25, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, October 26, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, October 27, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, October 28, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, October 29, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, October 30, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, October 31, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, November 1, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, November 2, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, November 3, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, November 4, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, November 5, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, November 6, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, November 7, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, November 8, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, November 9, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, November 10, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, November 11, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, November 12, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, November 13, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, November 14, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, November 15, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, November 16, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, November 17, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, November 18, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, November 19, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, November 20, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, November 21, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, November 22, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, November 23, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, November 24, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, November 25, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, November 26, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, November 27, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, November 28, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, November 29, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, November 30, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, December 1, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, December 2, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, December 3, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, December 4, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, December 5, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, December 6, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, December 7, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, December 8, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, December 9, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, December 10, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, December 11, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, December 12, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, December 13, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, December 14, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, December 15, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, December 16, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, December 17, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, December 18, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, December 19, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, December 20, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, December 21, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, December 22, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, December 23, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, December 24, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, December 25, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, December 26, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, December 27, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, December 28, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, December 29, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, December 30, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, December 31, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, January 1, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, January 2, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, January 3, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, January 4, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, January 5, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, January 6, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, January 7, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, January 8, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, January 9, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, January 10, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, January 11, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, January 12, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, January 13, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, January 14, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, January 15, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, January 16, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, January 17, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, January 18, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, January 19, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, January 20, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, January 21, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, January 22, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, January 23, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, January 24, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, January 25, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, January 26, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, January 27, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, January 28, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, January 29, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, January 30, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, January 31, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, February 1, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, February 2, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, February 3, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, February 4, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, February 5, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, February 6, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, February 7, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, February 8, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, February 9, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, February 10, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, February 11, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, February 12, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, February 13, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, February 14, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, February 15, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, February 16, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, February 17, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, February 18, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, February 19, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, February 20, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, February 21, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, February 22, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, February 23, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, February 24, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, February 25, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, February 26, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, February 27, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, February 28, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, February 29, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, March 1, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, March 2, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, March 3, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, March 4, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, March 5, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, March 6, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, March 7, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, March 8, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, March 9, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, March 10, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, March 11, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, March 12, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, March 13, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, March 14, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, March 15, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, March 16, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, March 17, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, March 18, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, March 19, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, March 20, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, March 21, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, March 22, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, March 23, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, March 24, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, March 25, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, March 26, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, March 27, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, March 28, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, March 29, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, March 30, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, March 31, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, April 1, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, April 2, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, April 3, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, April 4, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, April 5, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, April 6, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, April 7, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, April 8, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, April 9, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, April 10, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, April 11, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, April 12, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, April 13, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, April 14, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, April 15, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, April 16, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, April 17, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, April 18, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, April 19, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, April 20, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, April 21, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, April 22, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, April 23, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, April 24, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, April 25, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, April 26, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, April 27, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, April 28, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, April 29, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, April 30, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, May 1, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, May 2, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, May 3, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, May 4, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, May 5, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, May 6, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, May 7, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, May 8, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, May 9, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, May 10, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, May 11, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, May 12, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, May 13, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, May 14, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, May 15, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, May 16, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, May 17, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, May 18, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, May 19, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, May 20, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, May 21, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, May 22, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, May 23, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, May 24, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, May 25, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, May 26, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, May 27, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, May 28, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, May 29, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, May 30, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, May 31, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, June 1, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, June 2, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, June 3, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, June 4, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, June 5, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, June 6, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, June 7, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, June 8, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, June 9, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, June 10, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, June 11, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, June 12, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, June 13, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, June 14, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, June 15, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, June 16, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, June 17, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, June 18, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, June 19, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, June 20, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, June 21, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, June 22, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, June 23, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, June 24, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, June 25, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, June 26, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, June 27, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, June 28, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, June 29, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, June 30, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, July 1, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 2, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, July 3, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, July 4, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, July 5, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, July 6, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, July 7, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, July 8, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 9, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, July 10, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, July 11, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, July 12, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, July 13, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, July 14, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, July 15, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 16, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, July 17, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, July 18, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, July 19, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, July 20, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, July 21, 1992",World,,,,,,,,,,,,,,,,,,,,,,,,,
